5.325,5.375,8.47,8.12,5.629,5.797,3.145,3.016,4.687,3.598
5.325,5.373,8.465,8.099,5.629,5.79,3.129,3.006,4.681,3.597
5.343,5.366,8.476,8.093,5.626,5.781,3.115,3.005,4.677,3.594
5.347,5.352,8.482,8.094,5.627,5.777,3.117,3.015,4.667,3.594
5.346,5.364,8.475,8.088,5.621,5.779,3.144,3.022,4.669,3.591
5.343,5.358,8.463,8.068,5.627,5.796,3.121,3.057,4.665,3.588
5.337,5.363,8.458,8.076,5.624,5.796,3.106,3.067,4.666,3.588
5.345,5.359,8.469,8.079,5.652,5.79,3.111,3.056,4.657,3.589
5.374,5.349,8.468,8.075,5.638,5.789,3.103,3.039,4.655,3.587
5.393,5.321,8.474,8.052,5.631,5.792,3.111,3.032,4.664,3.587
5.392,5.299,8.478,8.04,5.628,5.798,3.104,3.033,4.662,3.586
5.384,5.283,8.463,8.037,5.624,5.797,3.112,3.041,4.654,3.582
5.365,5.28,8.455,8.024,5.62,5.793,3.106,3.047,4.644,3.581
5.343,5.32,8.464,8.022,5.627,5.771,3.102,3.06,4.638,3.582
5.329,5.321,8.469,8.026,5.641,5.76,3.098,3.074,4.637,3.582
5.33,5.289,8.478,8.037,5.628,5.757,3.075,3.104,4.631,3.58
5.325,5.266,8.476,8.046,5.625,5.693,3.112,3.117,4.634,3.578
5.317,5.259,8.457,8.047,5.621,5.742,3.108,3.114,4.625,3.574
5.301,5.278,8.443,8.034,5.622,5.746,3.116,3.1,4.644,3.574
5.283,5.273,8.45,8.025,5.623,5.735,3.107,3.088,4.671,3.572
